cluster_id,cluster_name,doc_id,year,title_keywords
0,General ML/DL,DOC001,2023,machine learning clinical prediction
0,General ML/DL,DOC002,2024,deep learning healthcare outcomes
0,General ML/DL,DOC003,2025,neural network diagnostic accuracy
0,General ML/DL,DOC004,2023,supervised learning patient data
0,General ML/DL,DOC005,2024,ensemble methods clinical trials
0,General ML/DL,DOC006,2025,transfer learning medical imaging
0,General ML/DL,DOC007,2023,feature extraction health records
1,AI in Clinical Care,DOC008,2024,clinical decision support AI
1,AI in Clinical Care,DOC009,2025,patient monitoring automation
1,AI in Clinical Care,DOC010,2023,treatment recommendation systems
1,AI in Clinical Care,DOC011,2024,diagnosis assistance algorithms
1,AI in Clinical Care,DOC012,2025,care pathway optimization
1,AI in Clinical Care,DOC013,2023,clinical workflow integration
2,ML Classification,DOC014,2024,disease classification models
2,ML Classification,DOC015,2025,patient stratification ML
2,ML Classification,DOC016,2023,risk prediction classifiers
2,ML Classification,DOC017,2024,outcome classification neural
2,ML Classification,DOC018,2025,multiclass medical diagnosis
2,ML Classification,DOC019,2023,binary classification health
3,Retrospective Studies,DOC020,2024,retrospective cohort AI analysis
3,Retrospective Studies,DOC021,2025,historical data machine learning
3,Retrospective Studies,DOC022,2023,chart review automation
3,Retrospective Studies,DOC023,2024,EHR retrospective mining
3,Retrospective Studies,DOC024,2025,longitudinal study prediction
3,Retrospective Studies,DOC025,2023,observational ML analysis
4,Healthcare Security,DOC026,2024,federated learning privacy
4,Healthcare Security,DOC027,2025,differential privacy health
4,Healthcare Security,DOC028,2023,secure multiparty computation
4,Healthcare Security,DOC029,2024,blockchain health records
4,Healthcare Security,DOC030,2025,privacy preserving analytics
4,Healthcare Security,DOC031,2023,encrypted model training
5,Cardiovascular Risk,DOC032,2024,cardiac risk prediction
5,Cardiovascular Risk,DOC033,2025,heart failure ML models
5,Cardiovascular Risk,DOC034,2023,ECG deep learning
5,Cardiovascular Risk,DOC035,2024,arrhythmia detection AI
5,Cardiovascular Risk,DOC036,2025,cardiovascular imaging
5,Cardiovascular Risk,DOC037,2023,stroke prediction algorithms
6,EHR Analytics,DOC038,2024,electronic health records NLP
6,EHR Analytics,DOC039,2025,clinical notes extraction
6,EHR Analytics,DOC040,2023,structured data mining
6,EHR Analytics,DOC041,2024,phenotyping algorithms
6,EHR Analytics,DOC042,2025,patient journey analytics
6,EHR Analytics,DOC043,2023,temporal pattern EHR
7,NLP and LLMs,DOC044,2024,large language models clinical
7,NLP and LLMs,DOC045,2025,GPT medical applications
7,NLP and LLMs,DOC046,2023,clinical text generation
7,NLP and LLMs,DOC047,2024,medical chatbot AI
7,NLP and LLMs,DOC048,2025,radiology report NLP
7,NLP and LLMs,DOC049,2023,named entity recognition health
7,NLP and LLMs,DOC050,2024,transformer models medicine
8,Cancer Genomics,DOC051,2025,genomic ML cancer
8,Cancer Genomics,DOC052,2023,mutation signature prediction
8,Cancer Genomics,DOC053,2024,tumor classification genomic
8,Cancer Genomics,DOC054,2025,precision oncology AI
8,Cancer Genomics,DOC055,2023,gene expression analysis
8,Cancer Genomics,DOC056,2024,biomarker discovery ML
9,MRI Imaging,DOC057,2025,MRI segmentation deep learning
9,MRI Imaging,DOC058,2023,brain imaging classification
9,MRI Imaging,DOC059,2024,lesion detection MRI
9,MRI Imaging,DOC060,2025,functional MRI analysis
9,MRI Imaging,DOC061,2023,neuroimaging prediction
9,MRI Imaging,DOC062,2024,spine MRI automation
10,Deep Neural Networks,DOC063,2025,CNN medical imaging
10,Deep Neural Networks,DOC064,2023,RNN temporal health data
10,Deep Neural Networks,DOC065,2024,attention mechanism clinical
10,Deep Neural Networks,DOC066,2025,generative models health
10,Deep Neural Networks,DOC067,2023,autoencoder anomaly detection
10,Deep Neural Networks,DOC068,2024,graph neural networks
11,Medical Image Segmentation,DOC069,2025,semantic segmentation organs
11,Medical Image Segmentation,DOC070,2023,instance segmentation cells
11,Medical Image Segmentation,DOC071,2024,3D segmentation volumetric
11,Medical Image Segmentation,DOC072,2025,U-Net medical applications
11,Medical Image Segmentation,DOC073,2023,boundary detection imaging
11,Medical Image Segmentation,DOC074,2024,multi-organ segmentation
12,CT Radiomics,DOC075,2025,CT texture analysis
12,CT Radiomics,DOC076,2023,radiomic features extraction
12,CT Radiomics,DOC077,2024,lung CT deep learning
12,CT Radiomics,DOC078,2025,liver radiomics prediction
12,CT Radiomics,DOC079,2023,tumor characterization CT
12,CT Radiomics,DOC080,2024,coronary CT analysis
12,CT Radiomics,DOC081,2025,radiomics survival prediction
13,Drug Discovery,DOC082,2023,molecular ML screening
13,Drug Discovery,DOC083,2024,drug target prediction
13,Drug Discovery,DOC084,2025,compound activity AI
13,Drug Discovery,DOC085,2023,ADMET prediction models
13,Drug Discovery,DOC086,2024,virtual screening deep
13,Drug Discovery,DOC087,2025,protein structure prediction
14,Breast Cancer Imaging,DOC088,2023,mammography deep learning
14,Breast Cancer Imaging,DOC089,2024,breast lesion detection
14,Breast Cancer Imaging,DOC090,2025,ultrasound breast AI
14,Breast Cancer Imaging,DOC091,2023,breast density classification
14,Breast Cancer Imaging,DOC092,2024,breast MRI analysis
14,Breast Cancer Imaging,DOC093,2025,screening optimization AI
14,Breast Cancer Imaging,DOC094,2023,biopsy guidance ML
14,Breast Cancer Imaging,DOC095,2024,survival prediction breast
14,Breast Cancer Imaging,DOC096,2025,recurrence risk model
14,Breast Cancer Imaging,DOC097,2023,treatment response prediction
14,Breast Cancer Imaging,DOC098,2024,molecular subtype classification
14,Breast Cancer Imaging,DOC099,2025,multimodal breast imaging
14,Breast Cancer Imaging,DOC100,2023,AI assisted diagnosis
